"Human judgment label (1 represents successful removal of bias, 0 represents failure of neutralization)",Source Text,Predicted Neutral Text,True Neutral Text
,"the 4th season of the series was rebroadcast on singapore's channel 5 in 2008 as a tribute to shum, after her passing .","the 4th season of the series was rebroadcast on singapore's channel 5 in 2008 as a tribute to shum, after her death .","the 4th season of the series was rebroadcast on singapore's channel 5 in 2008 as a tribute to shum, after her death ."
,"the change was made more remarkable by the fact that wilson had run on an anti-war platform in 1916 with the slogan ""he kept us out of war"" (though he had tried to emphasize americanism rather than neutrality) .","wilson had opposed the entry of the united states into world war i in 1917, though he had been largely responsible for establishing the new league of nations.","the change was made more remarkable by the fact that wilson had run on an anti-war platform in 1916 with the slogan ""he kept us out of war""."
,"in the baltics, r1a1a frequencies decrease from lithuania (45%) to estonia (around 30%).. in the balkans, r1a1 shows lower frequencies, and significant variation between areas, for example more than 30% in bulgaria, croatia ,slovenia, serbia, and macedonia , but less than 10% in albania, kosovo , greece.","in the baltics, r1a1a frequencies decrease from lithuania (45%) to estonia (around 30%).. in the balkans, r1a1 shows lower frequencies, and significant variation between areas, for example more than 30% in bulgaria, croatia and slovenia, but less than 10% in albania, kosovo and greece.","in the baltics, r1a1a frequencies decrease from lithuania (45%) to estonia (around 30%).. in the balkans, r1a1 shows lower frequencies, and significant variation between areas, for example more than 30% in croatia and slovenia , but less than 10% in albania, kosovo and greece."
,"for such companies, the court's conservative majority directly struck down the contraceptive mandate, a regulation adopted by the us department of health and human services (hhs) under the affordable care act (aca) requiring employers to cover certain contraceptives for their female employees, by a 5-4 vote.","for such companies, the court's conservative majority directly struck down the contraceptive mandate, a regulation adopted by the us department of health and human services (hhs) under the affordable care act (aca) requiring employers to cover certain contraceptives for their female employees, by a 5-4 vote.","for such companies, the court's majority directly struck down the contraceptive mandate, a regulation adopted by the us department of health and human services (hhs) under the affordable care act (aca) requiring employers to cover certain contraceptives for their female employees, by a 5-4 vote."
,"the chinese government would have to erect on the spot of the assassination of baron von ketteler a commemorative arch inscribed in latin, german, and chinese languages .","the chinese government would have to erect on the spot of the assassination of baron von ketteler a commemorative arch inscribed in latin, german, and chinese .","the chinese government would have to erect on the spot of the assassination of baron von ketteler a commemorative arch inscribed in latin, german, and chinese ."
,"but if you read the actual criticism from ed bott and george ou, they never attacked the slides and only criticize what guttmann has published in his original paper.","but if you read the actual criticism from ed bott and george ou, they never attacked the slides and only criticize what guttmann has published in his original paper.","but according to supporters of ed bott and george ou, they never attacked the slides and only criticize what guttmann has published in his original paper."
,"he also played a funny role in the urban movie soul plane, acting as an african pilot.","throughout his career, he has alternated between serious dramatic roles and character roles in comedy films, such as his role as an african pilot in the urban movie soul plane , where his performance as a parody of himself was lampooned in regard to his vegetarian lifestyle.","he also played a comical role in the urban movie soul plane, acting as an african pilot."
,27 november: he was charged with two counts of criminal damage after it was said that he had snatched the ignition keys from the cars of photographers pursuing his brother isaac ferry and his brother's actress friend sienna miller outside a nightclub after a bafta after-show party.,27 november: he was charged with two counts of criminal damage after it was said that he had snatched the ignition keys from the cars of photographers following his brother isaac ferry and his brother's actress friend sienna miller outside a nightclub after a bafta after-show party.,27 november: he was charged with two counts of criminal damage after it was said that he had snatched the ignition keys from the cars of photographers following his brother isaac ferry and his brother's actress friend sienna miller outside a nightclub after a bafta after-show party.
,"the remark caused a media firestorm, with drawing vociferous opposition from western governments, especially the u.s. government under george w. bush.","the remark caused a media firestorm, drawing vociferous opposition from western governments, especially the u.s. government under george w. bush.","the remark caused a u.s. media firestorm, with drawing vociferous opposition from the u.s. government under george w. bush."
,"today his military reputation has recovered , while experts rank his presidential achievements well below average.",today his military reputation has recovered while experts rank his presidential achievements below average .,today his military reputation has recovered while experts rank his presidential achievements below average except for pursuing equal justice .
,the jewish community responded to these objections by telling the public that the method was in fact humane.,the jewish community responded to these objections by stating that the method was humane.,the jewish community responded to these objections by stating that the method was humane.
,"modern dst was first proposed by the new zealand entomologist george vernon hudson, whose shift-work job gave him leisure time to collect insects, and made him aware of the value of after-hours daylight.","modern dst was first proposed by the new zealand entomologist george vernon hudson, whose shift-work job gave him leisure time to collect insects, and made him aware of the value of after-hours daylight.","modern dst was first proposed by the new zealand entomologist george vernon hudson, whose shift-work job gave him leisure time to collect insects, and led him to value after-hours daylight."
,"in contrast to his on stage personality, reznor is often credited to be shy, soft spoken and a bit of a recluse .","in contrast to his on stage personality, reznor is often credited to be shy, soft spoken and reclusive .","in contrast to his on stage personality, reznor is often credited to be shy, soft spoken and reclusive ."
,"elon university is on the selective side, with an acceptance rate of 45% as of 2014. the university includes elon college, the college of arts and sciences; the martha and spencer love school of business; the school of communications; the school of education; the school of law; and the school of health sciences.",this text does not contain detectable subjective bias.,"the university includes elon college, the college of arts and sciences; the martha and spencer love school of business; the school of communications; the school of education; the school of law; and the school of health sciences."
,"indeed, undoubtedly the most horrifying event in the novel occurs during a scene in which garp's son (walt) is accidentally killed and his other son injured because helen, while attempting to break off her affair with one of her students, agrees to fellatio as a sort of going-away present.","indeed, undoubtedly the most shocking event in the novel occurs during a scene in which garp's son (walt) is accidentally killed and his other son injured because helen, while attempting to break off her affair with one of her students, agrees to fellatio as a sort of going-away present.","indeed, garp's son (walt) is accidentally killed and his other son injured because helen, while attempting to break off her affair with one of her students, agrees to fellatio as a sort of going-away present."
,"in an interesting note, bill goldberg was picked up off the rosters of the atlanta falcons, but made panther history by being the first player cut by the panthers; goldberg would later go on to much greater fame as a professional wrestler for wcw and wwe.","bill goldberg was picked up off the rosters of the atlanta falcons, but made panther history by being the first player cut by the panthers; goldberg would later become a successful professional wrestler for wcw and wwe.","bill goldberg was picked up off the rosters of the atlanta falcons, but made panther history by being the first player cut by the panthers; goldberg would later go on to much greater fame as a professional wrestler for wcw and wwe."
,"president george w. bush announces a surge of 20,000 more troops in the war in iraq , causing uproar in the house, senate, and across the country .","president george w. bush announces a surge of 20,000 more troops to fight in the war in iraq.","president george w. bush announces a surge of 20,000 more troops to fight in the war in iraq in a televised speech ."
,muriel vanderbilt church phelps adams passed away in 1982 at the age of eighty.,muriel vanderbilt church phelps adams died in 1982 at the age of eighty.,muriel vanderbilt church phelps adams died in 1982 at the age of eighty.
,the united kingdom was the first european country with a taco bell.,the first europe taco bell was opened in the united kingdom .,the united kingdom was the first eu country with a taco bell.
,buckley is the author of a series of substandard novels featuring the character of cia agent blackford oakes.,buckley is the author of a series of novels featuring the character of cia agent blackford oakes.,buckley is the author of a series of novels featuring the character of cia agent blackford oakes.
,april 17 - sun myung moon has a revelation from jesus telling him to complete his mission from almost 2000 years ago.,april 17 - sun myung moon has a revelation from jesus telling him to complete his mission from almost 2000 years ago.,april 17 - sun myung moon claims to have a revelation from jesus telling him to complete his mission from almost 2000 years ago.
,bill roper is a notorious video game developer and has been a well-known figure in the worldwide gaming industry for over a decade.,"einstein was not a theoretical physicist who focused on problems with no immediate practical application, but rather a researcher who was able to keep in touch with practical developments.",bill roper is a video game developer and has been a well-known figure in the worldwide gaming industry for over a decade.
,"colonel sir william walter mahon, 7th baronet, (born 4 december 1940) is an anglo-irish baronet and retired regular officer of the british army.","colonel sir william walter mahon, 7th baronet, (born 4 december 1940) is an anglo-irish baronet and retired officer of the british army.","colonel sir william walter mahon, 7th baronet, (born 4 december 1940) is an baronet and retired regular officer of the british army."
,it is the pre-eminent british public school and is widely considered to be the most famous school in the world.,it is a pre-eminent british public school and is one of the most famous schools in the world.,it is a pre-eminent british public school and is widely considered to be one of the most famous schools in the world.
,the current unattractive single-storey structure was built in the 1960s for the opening of the victoria line on 1 september 1968 and provides a combined entrance for all of the lines serving the station.,the current single-storey structure was built in the 1960s for the opening of the victoria line on 1 september 1968 and provides a combined entrance for all of the lines serving the station.,the current single-storey structure was built in the 1960s for the opening of the victoria line on 1 september 1968 and provides a combined entrance for all of the lines serving the station.
,the westminster abbey museum is located in the magnificent 11th century vaulted undercroft of st peter beneath the former monks' dormitory in westminster abbey.,the presence chamber in the grand apartments is particularly unaltered and rare .,the westminster abbey museum is located in the 11th century vaulted undercroft of st peter beneath the former monks' dormitory in westminster abbey.
,"earthlings is a documentary , using disturbing images, to demonstrate mankind's cruelty toward animals for pets, food, clothing, entertainment, and use in experimentation.","earthlings is a documentary about mankind's exploitation of animals for pets, food, clothing, entertainment, and use in experimentation.","earthlings is a documentary about mankind's dependence on animals for pets, food, clothing, entertainment, and use in experimentation."
,"he left his village at the age of 13 and enrolled as a mercenary in the ottoman militia of the local despot, ali pasha.",he left his village at the age of 13 and enrolled as a mercenary in the ottoman militia of the local leader ali pasha.,he left his village at the age of 13 and enrolled as a mercenary in the ottoman militia of the local ruler ali pasha.
,journalists and academics likewise lack unanimous agreement on what to call bitcoin.,journalists and academics likewise lack unanimous agreement on what to call bitcoin.,journalists and academics likewise dispute what to call bitcoin.
,"despite this acceptance, the russian federation lacked the military and political power of the former soviet union.",the russian federation nonetheless lacks the military and political power of the former soviet union.,"the russian federation nonetheless lacks the military and political power of the former soviet union , as well as the territorial boundaries ."
,"in 2006, trost fell less than 1% below getting a majority of the popular vote , handily defeating the second place ndp, andrew mason and third place liberal, peter stroh.","in 2006, trost was re-elected , defeating the ndp, andrew mason and liberal, peter stroh.","in 2006, trost was re-elected , defeating the second place ndp, andrew mason and third place liberal, peter stroh."
,"william f. friedman, us, introduced statistical methods into cryptography , can claim title of founder of modern cryptography.","william f. friedman, us, introduced statistical methods into cryptography ; he is sometimes described as the founder of modern cryptography.","william f. friedman, us, introduced statistical methods into cryptography ; some would describe him as the founder of modern cryptography."
,japan also does not recognise the australian claim to australian antarctic territorial waters in which japanese ships illegally conduct whaling.,japan also does not recognise the australian claim to australian antarctic territorial waters in which japanese ships conduct whaling.,japan also does not recognise the australian claim to australian antarctic territorial waters in which japanese ships conduct whaling.
,"monica hesse of the washington post stated that upon discovery of the hoax, bloggers, women, gays and lesbians, and syrians were unhappy, since a blog that claimed to be one of them was written by an american straight male.","monica hesse of the washington post wrote that upon discovery of the hoax, bloggers, women, gays and lesbians, and syrians were unhappy, since a blog that claimed to be one of them was written by an american straight male.","monica hesse of the washington post wrote that upon discovery of the hoax, bloggers, women, gays and lesbians, and syrians were unhappy, since a blog that claimed to be one of them was written by an american straight male."
,anatolia corresponds to the western two-thirds of the asian part of turkey.,anatolia roughly corresponds to the asian part of turkey.,anatolia roughly corresponds to the asian part of turkey.
,"most recently, in march 2009 bolthouse vox announced a key joint venture and alliance with wolfgang puck catering through which all bolthouse vox events will be catered exclusively by wolfgang puck.",in march 2009 bolthouse vox announced a joint venture with wolfgang puck catering through which all bolthouse vox events will be catered by wolfgang puck.,"in march 2009 , bolthouse vox announced a joint venture with wolfgang puck catering through which all bolthouse vox events will be catered by wolfgang puck."
,"rodney glen king (born april 2, 1965) is an american who was famously the victim in a police brutality case involving the los angeles police department (lapd) on march 3, 1991. a bystander, george holliday, videotaped much of the incident from a distance.","rodney glen king (born april 2, 1965) is an american who was involved in a police","rodney glen king (born april 2, 1965) is an american best known for his involvement in a police brutality case involving the los angeles police department (lapd) on march 3, 1991. a bystander, george holliday, videotaped much of the incident from a distance."
,"carolynne cunningham is an academy award nominated film producer and assistant director most know for her collaborations with director peter jackson, producing such films as king kong (2005), district 9 (2009), the lovely bones (2009), and the upcoming epic fantasy film series the hobbit (20122013).","carolynne cunningham is an academy award nominated film producer and assistant director most known for her collaborations with director peter jackson, producing such films as king kong (2005), district 9 (2009), the lovely bones (2009), and the upcoming epic fantasy film series the hobbit (20122013).","carolynne cunningham is a film producer and assistant director most known for her collaborations with director peter jackson, producing such films as king kong (2005), district 9 (2009), the lovely bones (2009), and the upcoming epic fantasy film series the hobbit (20122013)."
,"he was widely considered to be a possible candidate for president of the united states, or a possible nominee for vice president in 2008 or 2012. however, with the loss of republican control of the colorado state senate during his tenure and his failure to help elect a republican successor to his office in 2006 (by a huge margin) , speculation about a potential presidential bid has softened.","salazar said that he wouldn't run for president , saying that he was almost certain he wouldn't.","he was widely considered to be a possible candidate for president of the united states, or a possible nominee for vice president in 2008 or 2012. however, with the loss of republican control of the colorado state senate during his tenure, speculation about a potential presidential bid has softened."
,"the f-15i is operated by the famous idf/af no 69 hammers squadron, which had previously been operating the f-4 phantom.","the f-15i is operated by the idf/af no 69 hammers squadron, which had previously been operating the f-4 phantom.","the f-15i is operated by the idf/af no 69 hammers squadron, which had previously been operating the f-4 phantom."
,"star sapphire is the name of several supervillainess es in dc comics, all connected in origin.","star sapphire is the name of several characters in dc comics, all connected in origin.","star sapphire is the name of several supervillain s in dc comics, all connected in origin."
,"gladys rockmore davis (may 11, 1901- february 16, 1967) was an american artist who succeeded in both commercial and fine arts, and gave up a career in advertising art to devote herself to creative painting.","gladys rockmore davis (may 11, 1901- february 16, 1967) was an american artist who worked in both commercial and fine arts, and in later years of her career focused on creative painting.","gladys rockmore davis (may 11, 1901- february 16, 1967) was an american artist who worked in both commercial and fine arts, and gave up a career in advertising art to work in creative painting."
,"since the finished product, if bottled, will produce a nice carbonated beverage it provides a nice alternative to sweet soda drinks for children and adults alike .","since the finished product, if bottled, will produce a carbonated beverage it provides an alternative to sweet soda drinks for children and adults.","since the finished product, if bottled, will produce a carbonated beverage , it provides a alternative to sweet soda drinks for children and adults."
,the most fascinating part is the dukhang or assembly hall — a three-storied building housing the temple and the 8.3 m (27 ft) high golden buddha.,the dukhang or assembly hall is a three-storied building housing the temple and the 8.3&nbsp;m (27&nbsp;ft) high golden buddha.,the dukhang or assembly hall is a three-storied building housing the temple and the 8.3 m (27 ft) high golden buddha.
,"other sources described the book as ""hagiographic,"" with neocon contrarian author max boot saying he would have liked to have seen ""a more objective"" portrait of petraeus presented.","other sources described the book as ""hagiographic,"" with commentator max boot saying he would have liked to have seen ""a more objective"" portrait of petraeus presented.","other sources described the book as ""hagiographic,"" with author max boot saying he would have liked to have seen ""a more objective"" portrait of petraeus presented."
,"it provides advisory services to businesses, nonprofit organizations, and governments, and is considered one of the most prestigious management consulting firms.","it provides advisory services to businesses, nonprofit organizations, and governments, and is one of the largest management consulting firms.","it provides advisory services to businesses, nonprofit organizations, and governments, and is one of the big three management consulting firms."
,"the palmarian catholic church (one holy catholic apostolic and palmarian church) is a schismatic and heretical catholic church with its own, self-acclaimed pope, peter ii.","the palmarian catholic church (one holy catholic apostolic and palmarian church) is a schismatic catholic church with its own pope, peter ii.","the palmarian catholic church (one holy catholic apostolic and palmarian church) is a schismatic catholic church with its own, self-acclaimed pope, peter ii."
,"henry iv and his advisor, the duc de sully continued the work of reconstruction and led france into a peaceful and prosperous age .","henry iv and his advisor, the duc de sully continued the work of reconstruction and led france into was considered a peaceful and prosperous age by 1600 .","henry iv and his advisor, the duc de sully continued the work of reconstruction and led france."
,"after 1992's masterpiece priest=aura, peter koppes departed the band and replacment drummer jay dee daugherty found other work, the church was now down to its two remaining founders, steve kilbey and marty willson-piper who soldiered on to create the majestic yet sometimes uneven sometime anywhere.","after 1992's priest=aura, peter koppes departed the band and replacment drummer jay dee daugherty found other work, the church was now down to its two remaining founders, steve kilbey and marty willson-piper who soldiered on to create the sometimes uneven sometime anywhere.","after 1992's priest=aura, peter koppes departed the band and replacment drummer jay dee daugherty found other work, the church was now down to its two remaining founders, steve kilbey and marty willson-piper who soldiered on to create the majestic yet sometimes uneven sometime anywhere."
,"sadly, she died on march 6, 2006, before the film was completed.","dana reeve died on march 6, 2006, before the film was completed.","dana reeve died on march 6, 2006, before the film was completed."
,positioning the deceased so that when the face or body is turned to the right side it faces mecca (makkah al-mukarramah) .,positioning the deceased so that when the face or body is turned to the right side it faces mecca ( makkah) .,positioning the deceased so that when the face or body is turned to the right side it faces mecca.
,"they asked specifically who had written these books: according to tradition their author was moses, but these critics noticed , and wrote about , the many contradictions and inconsistencies which made the mosaic authorship tradition improbable.","they asked specifically who had written these books: according to tradition their author was moses, but these critics noticed and then wrote about what they believed to be many contradictions and inconsistencies , which in their minds made the mosaic authorship tradition less probable.","they asked specifically who had written these books: according to tradition their author was moses, but these critics noticed and then wrote about what they believed to be many contradictions and inconsistencies , which in their minds made the mosaic authorship tradition improbable."
,this led florida state player sam cassell to say that the dean dome is not a raucous duke kind of crowd.,this led florida state player sam cassell to say that the dean dome is not a raucous crowd.,this led florida state player sam cassell to say that the dean dome is not a duke kind of crowd.
,"these seven entities were highly leveraged and had $9 trillion in debt or guarantee obligations , an enormous concentration of risk ; yet they were not subject to the same regulation as depository banks.",these seven entities were highly leveraged and had $9 trillion in debt or guarantee obligations; they were not subject to the same regulation as depository banks.,these seven entities were highly leveraged and had $9 trillion in debt or guarantee obligations; yet they were not subject to the same regulation as depository banks.
,"david brandt berg (18 february, 1919 - october 1994), frequently known by the pseudonym moses david, was the founder and leader of the cult , children of god, also called ""the family international"".","david brandt berg (18 february, 1919 - october 1994), frequently known by the pseudonym moses david, was the founder and leader of the religious movement , children of god, also called ""the family international"".","david brandt berg (18 february, 1919 - october 1994), frequently known by the pseudonym moses david, was the founder and leader of the religious movement , children of god, also called ""the family international""."
,"aleksandr blok marvellously metamorphosed pushkin's poem into his own ""o podvigakh, o doblestyakh, o slave..."", while mikhail glinka set the poem to music and dedicated the result to kern's daughter catherine.","blok metamorphosed pushkin's poem into his own ""o podvigakh, o doblestyakh, o slave..."", while mikhail glinka set the poem to music and dedicated the result to kern's daughter catherine.","aleksandr blok metamorphosed pushkin's poem into his own ""o podvigakh, o doblestyakh, o slave..."", while mikhail glinka set the poem to music and dedicated the result to kern's daughter catherine."
,"kjetil person siem (born september 29, 1960) is a norwegian corrupt businessperson, journalist, author and sports official.","kjetil person siem (born september 29, 1960) is a norwegian businessman, journalist, author and sports official.","kjetil person siem (born september 29, 1960) is a norwegian businessperson, journalist, author and sports official."
,the term gnu/linux is used to refer to operating systems which distribute the linux kernel with the gnu userland.,the term gnu/linux is used by some to refer to the linux operating system when the linux kernel is distributed with a gnu userland.,the term gnu/linux is used by some to refer to the linux operating system when the linux kernel is distributed with a gnu userland.
,he is also famously known for his portrayal of herbert pocket in great expectations (1946).,he is also known for his portrayal of herbert pocket in great expectations (1946).,he is also known for his portrayal of herbert pocket in great expectations (1946).
,"the bush administration has criticized icc's lack of checks and balances, although the us administration itself has denied such checks and balances to terror suspects.","the bush administration has criticized icc's lack of checks and balances, while some counter that the us administration itself has denied such checks and balances to terror suspects.","the bush administration has criticized icc's lack of checks and balances, while some counter that the us administration itself has denied such checks and balances to terror suspects."
,"daniel koren is an emmy nominated, brooklyn-based musician, comedian and director.","daniel koren is a musician, comedian and director.","daniel koren is a brooklyn-based musician, comedian and director."
,"irwin shot a brilliant second round of 62 at pinehurst for a 15-under par opening 36-hole total of 127, which was the best in any pga tour event for over a decade.",he won the mvp despite missing a third of the games.,"irwin shot a second round of 62 at pinehurst for a 15-under par opening 36-hole total of 127, which was the best in any pga tour event for over a decade."
,"as the u.s. government remains the most active proponent of the ""rogue state"" expression while at the same time carrying on many of the activities associated with such a state , the term has received much criticism from those who disagree with u.s. foreign policy.","as the u.s. government is often accused of carrying on many of the activities associated with ""rogue states"" , the term has received much criticism from those who disagree with u.s. foreign policy.","as the u.s. government remains the most active proponent of the ""rogue state"" expression, the term has received much criticism from those who disagree with u.s. foreign policy."
,"because of the purity of the ancient breed, the akhal-teke has been used for developing new breeds, most recently the nez perce horse (appaloosa x akhal-teke).","the akhal teke 's purity of bloodline and proven endurance has led to some of the most recent breeds, such as the nez perce horse (appaloosa x akhal-teke) and of course helped improve many existing ones through siring.","because of the genetic prepotency of the ancient breed, the akhal-teke has been used for developing new breeds, most recently the nez perce horse (appaloosa x akhal-teke)."
,"after attaining the state of clear, a person may go on to study the operating thetan levels, in which one removes one's body thetans (souls attached to or making up the body).","after attaining the state of clear, a person may go on to study the operating thetan levels, in which scientologists believe they remove their body thetans (souls attached to or making up the body).","after attaining the state of clear, a person may go on to study the operating thetan levels, in which scientologists allegedly remove their body thetans (souls attached to or making up the body)."
,"in the united states presidential election, 1860, abraham lincoln received only 10 percent of the state's votes, while 71 percent favored either john bell or stephen a. douglas, both of whom wanted the status quo to remain (douglas was to narrowly win the missouri vote over bellthe only state douglas carried besides new jersey) with the remaining 19 percent siding with southern democrat john c. breckinridge.","in the united states presidential election, 1860, abraham lincoln received only 10 percent of the state's votes, while 71 percent favored either john bell or stephen a. douglas, both of whom wanted the status quo to remain (douglas was to narrowly win the missouri vote over bellonly one of two states douglas carried , besides new jersey) with the remaining 19 percent siding with southern democrat john c. breckinridge.","in the united states presidential election, 1860, abraham lincoln received only 10 percent of the state's votes, while 71 percent favored either john bell or stephen a. douglas, both of whom wanted the status quo to remain (douglas was to narrowly win the missouri vote over bellonly one of two states douglas carried , besides new jersey) with the remaining 19 percent siding with southern democrat john c. breckinridge."
,"swift's ministry of today and church are headed by a council of 3 men, including pastor jonathan williams of atlanta, ga. the views remain the same...violently anti-semitic!","swift's ministry of today and church was later reconstituted and is now run by a council including pastor jonathan williams of atlanta, ga.","swift's ministry of today and church was later reconstituted and is now run by a council including pastor jonathan williams of atlanta, ga."
,"without compensation, the rebate tariff will be reduced by 33% to 40 cents a kilowatt hour from july 1, 2011 through to the conclusion of the scheme in 2016. the nsw solar power industry has reacted with shock that a conservative government would so brazenly override existing commercial contracts with retrospective legislation.","without compensation, the rebate tariff will be reduced by 33% to 40 cents a kilowatt hour from july 1, 2011 through to the conclusion of the scheme in 2016.","without compensation, the rebate tariff will be reduced by 33% to 40 cents a kilowatt hour from july 1, 2011 through to the conclusion of the scheme in 2016. the nsw solar power industry has reacted with shock that the government would override existing commercial contracts with retrospective legislation."
,"well known in the chicago area, argo tea primarily sells a variety of hot and cold tea-based signature drinks.",it primarily sells a variety of hot and cold tea-based signature drinks.,it primarily sells a variety of hot and cold tea-based signature drinks.
,"the tibetan project was codenamed ""st circus"", and it was similar to both the cia operation that trained dissident cubans in what later became the bay of pigs invasion and the united states military's arming and training of the mujahideen to fight off commuist invaders .","the tibetan project was codenamed ""st circus"", and it was similar to both the cia operation that trained dissident cubans in what later became the bay of pigs invasion and the united states military's arming and training of the mujahideen to fight off soviet invaders .","the tibetan project was codenamed ""st circus"", and it was similar to both the cia operation that trained dissident cubans in what later became the bay of pigs invasion and the united states military's arming and training of the mujahideen to fight off soviet forces ."
,"for 83 years, the hollow was home to the legendary polo grounds sports stadium.","for 83 years, the hollow was home to the polo grounds sports stadium.","for 83 years, the hollow was home to the polo grounds sports stadium."
,"the paratroopers were the ones to liberate the wailing wall and the temple mount - a moment that is considered as ""historic"" and the ""highlight of this war"" by the majority of the israeli public, mainly due to the sacredness of these places to the jewish people.","the paratroopers were the ones to capture the wailing wall and the temple mount - a moment that is considered as ""historic"" and the ""highlight of this war"" by the majority of the israeli public, mainly due to the religious significance of these places to the jewish people.","the paratroopers were the ones to capture the wailing wall and the temple mount - a moment that is considered as ""historic"" and the ""highlight of this war"" by the majority of the israeli public, mainly due to the sacredness of these places to the jewish people."
,as opposed to the current price system method.,in contrast to the current price system method.,in constrast to the current price system method.
,"it was met with opposition by the student body but greg watson, the principal, pled ignorance to the issue and has claimed that he had received positive support regarding it.","it was met with opposition by the student body but greg watson, the principal, said that he had received positive support regarding it.","it was met with opposition by the student body but greg watson, the principal, pled ignorance to the issue and has stated that he had received positive support regarding it."
,"the language is sometimes referred to in english as gaelic (sampa: /""geilik/) or irish gaelic but in ireland this usage is regarded as anachronistic and the terms the irish language or simply irish are preferred.","the language is sometimes referred to in english as gaelic (sampa: /""geilik/) or irish gaelic but is more generally referred to in ireland simply as the irish language or irish .","the language is sometimes referred to in english as gaelic (sampa: /""geilik/) or irish gaelic but is more generally referred to in ireland simply as the irish language or simply irish are preferred."
,"charter schools are another example of alternative education, which have in the recent years gained notorious growth in the us and gained greater importance in its public education system.","charter schools are another example of alternative education, which have in the recent years grown in numbers in the us and gained some importance in its public education system.","charter schools are another example of alternative education, which have in the recent years grown in numbers in the us and gained greater importance in its public education system."
,"amraphel ( amrpel) was , according to the religious text the old testament ( genesis xiv.1 and 9 ) , a king of shinar (sumer) who invaded the west along with chedorlaomer, king of elam, and others, and defeated sodom and the other cities of the plain in the battle of the vale of siddim.","in the old testament, amraphel ( amrpel) was a king of shinar ( sumer ) in genesis xiv.1 and 9, who invaded the west along with chedorlaomer, king of elam, and others, and defeated sodom and the other cities of the plain in the battle of the vale of siddim.","in the old testament, amraphel ( amrpel) was a king of shinar ( sumer ) in genesis xiv.1 and 9, who invaded the west along with chedorlaomer, king of elam, and others, and defeated sodom and the other cities of the plain in the battle of the vale of siddim."
,sadly his trademark accuracy deserted him in the grand final and he was unable to secure the points needed with neil kelly's widnes vikings running out victors 24-12.,in the grand final he was unable to secure the points needed with neil kelly's widnes vikings running out victors 24-12.,hin the grand final he was unable to secure the points needed with neil kelly's widnes vikings running out victors 24-12.
,villa maria is the better of the two all male dormitories on campus and holds the army rotc offices.,villa maria is one of two all male dormitories on campus and hold the army rotc offices.,villa maria is one of two all male dormitories on campus and hold the army rotc offices.
,"bachmann has taken a strong position against murder of unborn babies and has been endorsed in her runs for congress by the susan b. anthony list and minnesota citizens concerned for life; at a debate among presidential candidates in new hampshire, when asked if abortion should be allowed in cases of rape or incest, bachmann responded that she is ""100 per cent pro-life"".","bachmann has taken a strong opposition to the practice of abortion and has been endorsed in her runs for congress by the susan b. anthony list and minnesota citizens concerned for life; at a debate among presidential candidates in new hampshire, when asked if abortion should be allowed in cases of rape or incest, bachmann responded that she is ""100 per cent pro-life"".","bachmann has taken a strong opposition to the legalization of abortion and has been endorsed in her runs for congress by the susan b. anthony list and minnesota citizens concerned for life; at a debate among presidential candidates in new hampshire, when asked if abortion should be allowed in cases of rape or incest, bachmann responded that she is ""100 per cent pro-life""."
,"clifford has three churches, an anglican church, clifford methodist church, and arguably the most beautiful, st. edward's catholic church, which has an extremely interesting history.","clifford has three churches, an anglican church, clifford methodist church, and st. edward's catholic church, which has an interesting history.","clifford has three churches, an anglican church, clifford methodist church, and st. edward's catholic church, which has an extremely interesting history."
,"from this, diplo went from an unknown dj to taking off as a producer, landing him collaborations with major artists like shakira, robyn, kid cudi, bruno mars and snoop dogg, as well as work with maluca, kid sister, die antwoord, alex claire, rolo tomassi, amanda blank, dark meat and many more who all sought to incorporate diplos worldly electro instrumentations into their respective sounds .","from this, diplo went from an unknown dj to taking off as a producer, landing him collaborations with artists like shakira, robyn, kid cudi, bruno mars and snoop dogg, as well as work with maluca, kid sister, die antwoord, alex claire, rolo tomassi, amanda blank, dark meat.","from this, diplo went from an unknown dj to taking off as a producer, landing him collaborations with artists like shakira, robyn, kid cudi, bruno mars and snoop dogg, as well as work with maluca, kid sister, die antwoord, alex claire, rolo tomassi, amanda blank, dark meat."
,"gill is controversial in his attitude and widely disseminated view of welsh people; for example in 1998 his descriptions of welsh people as ""dark, ugly little trolls"" in the sunday times were reported to the commission for racial equality as racist.","gill has been controversial in his view of welsh people; in 1998 his descriptions of welsh people as ""dark, ugly little trolls"" in the sunday times were reported to the commission for racial equality as racist.","gill has been controversial in his view of welsh people; in 1998 his descriptions of welsh people as ""dark, ugly little trolls"" in the sunday times were reported to the commission for racial equality as racist."
,these actions were later heavily fictionalized in the 1981 charles bronson classic death hunt.,these actions were later heavily fictionalized in the 1981 charles bronson film death hunt .,these actions were later heavily fictionalized in the 1981 charles bronson film death hunt .
,"the ""body count"" and attrition warfare strategies used in the vietnam war came directly from his attempting to apply his flawed statistical logic worldview to the battlefield.","the ""body count"" and attrition warfare strategies used in the vietnam war came directly from his attempting to apply his statistical logic worldview to the battlefield.","the ""body count"" and attrition warfare strategies used in the vietnam war came directly from his attempting to apply his statistical logic worldview to the battlefield."
