Sample Index,Source Text,Predicted Neutral Text,True Neutral Text
397,"most recently, in march 2009 bolthouse vox announced a key joint venture and alliance with wolfgang puck catering through which all bolthouse vox events will be catered exclusively by wolfgang puck.","In March 2009, Bolthouse Vox announced a joint venture and alliance with Wolfgang Puck Catering, where all Bolthouse Vox events would be catered exclusively by Wolfgang Puck.","in march 2009 , bolthouse vox announced a joint venture with wolfgang puck catering through which all bolthouse vox events will be catered by wolfgang puck."
401,"rodney glen king (born april 2, 1965) is an american who was famously the victim in a police brutality case involving the los angeles police department (lapd) on march 3, 1991. a bystander, george holliday, videotaped much of the incident from a distance.",No neutral text provided,"rodney glen king (born april 2, 1965) is an american best known for his involvement in a police brutality case involving the los angeles police department (lapd) on march 3, 1991. a bystander, george holliday, videotaped much of the incident from a distance."
409,"gladys rockmore davis (may 11, 1901- february 16, 1967) was an american artist who succeeded in both commercial and fine arts, and gave up a career in advertising art to devote herself to creative painting.",No neutral text provided,"gladys rockmore davis (may 11, 1901- february 16, 1967) was an american artist who worked in both commercial and fine arts, and gave up a career in advertising art to work in creative painting."
411,"since the finished product, if bottled, will produce a nice carbonated beverage it provides a nice alternative to sweet soda drinks for children and adults alike .",No neutral text provided,"since the finished product, if bottled, will produce a carbonated beverage , it provides a alternative to sweet soda drinks for children and adults."
415,"other sources described the book as ""hagiographic,"" with neocon contrarian author max boot saying he would have liked to have seen ""a more objective"" portrait of petraeus presented.",No neutral text provided,"other sources described the book as ""hagiographic,"" with author max boot saying he would have liked to have seen ""a more objective"" portrait of petraeus presented."
423,"loss of control, constriction, overcrowding, high speeds/accelerations, height and other phobias produce anxiety that discourage use of public transport.",No neutral text provided,"loss of control, constriction, overcrowding, high speeds/accelerations, height and other phobias may also discourage use of public transport."
436,"tuallg in the south became what is now south ossetia, part of the historical georgian principality of samachablo where ossetians found refuge from mongol invaders .",No neutral text provided,"tuallg in the south became what is now south ossetia, part of the historical georgian principality of samachablo ."
438,"the palmarian catholic church (one holy catholic apostolic and palmarian church) is a schismatic and heretical catholic church with its own, self-acclaimed pope, peter ii.",No neutral text provided,"the palmarian catholic church (one holy catholic apostolic and palmarian church) is a schismatic catholic church with its own, self-acclaimed pope, peter ii."
439,she became known throughout the country when she committed suicide after constant bullying from classmates.,she gained national attention when she took her own life following persistent bullying from classmates.,she became known throughout the united states when she committed suicide after constant bullying from classmates.
443,"henry iv and his advisor, the duc de sully continued the work of reconstruction and led france into a peaceful and prosperous age .","Henry IV and his advisor, the Duc de Sully continued the work of reconstruction in France.","henry iv and his advisor, the duc de sully continued the work of reconstruction and led france."
449,corba aims to bring to the table many benefits that no other single technology brings in one package.,corba supports several features which it claims that no other single technology brings in one package.,corba supports several features which it claims that no other single technology brings in one package.
458,"david brandt berg (18 february, 1919 - october 1994), frequently known by the pseudonym moses david, was the founder and leader of the cult , children of god, also called ""the family international"".",No neutral text provided,"david brandt berg (18 february, 1919 - october 1994), frequently known by the pseudonym moses david, was the founder and leader of the religious movement , children of god, also called ""the family international""."
460,"following the 1993 federal election in which the liberals regained power from the progressive conservatives after almost a decade in opposition, tobin was appointed minister of fisheries and oceans for his loyalty to chrtien .","following the 1993 federal election, Tobin was appointed minister of fisheries and oceans for his loyalty to Chretien.","following the 1993 federal election in which the liberals regained power from the progressive conservatives after almost a decade in opposition, tobin was appointed minister of fisheries and oceans."
467,"however, contradicting his previous claims, he later stated that the purpose of his repeated incarnations is to continue unfinished work and, as such, if the situation in tibet remains unchanged, it is very likely that he will be reborn to finish his work .",No neutral text provided,"however, he has also stated that the purpose of his repeated incarnations is to continue unfinished work and, as such, if the situation in tibet remains unchanged, it is very likely that he will be reborn to finish his work ."
471,"kjetil person siem (born september 29, 1960) is a norwegian corrupt businessperson, journalist, author and sports official.",No neutral text provided,"kjetil person siem (born september 29, 1960) is a norwegian businessperson, journalist, author and sports official."
487,"the bush administration has criticized icc's lack of checks and balances, although the us administration itself has denied such checks and balances to terror suspects.",No neutral text provided,"the bush administration has criticized icc's lack of checks and balances, while some counter that the us administration itself has denied such checks and balances to terror suspects."
489,"daniel koren is an emmy nominated, brooklyn-based musician, comedian and director.","daniel koren is a musician, comedian and director based in Brooklyn.","daniel koren is a brooklyn-based musician, comedian and director."
491,"irwin shot a brilliant second round of 62 at pinehurst for a 15-under par opening 36-hole total of 127, which was the best in any pga tour event for over a decade.","Irwin shot a second round of 62 at Pinehurst for a 15-under par opening 36-hole total of 127, which was the best in any PGA Tour event for over a decade.","irwin shot a second round of 62 at pinehurst for a 15-under par opening 36-hole total of 127, which was the best in any pga tour event for over a decade."
504,"after attaining the state of clear, a person may go on to study the operating thetan levels, in which one removes one's body thetans (souls attached to or making up the body).",No neutral text provided,"after attaining the state of clear, a person may go on to study the operating thetan levels, in which scientologists allegedly remove their body thetans (souls attached to or making up the body)."
507,"swift's ministry of today and church are headed by a council of 3 men, including pastor jonathan williams of atlanta, ga. the views remain the same...violently anti-semitic!",No neutral text provided,"swift's ministry of today and church was later reconstituted and is now run by a council including pastor jonathan williams of atlanta, ga."
515,"well known in the chicago area, argo tea primarily sells a variety of hot and cold tea-based signature drinks.",No neutral text provided,it primarily sells a variety of hot and cold tea-based signature drinks.
519,"jimmy ""jimbo"" wales (born 1966), co- founder of wikipedia and chairperson emeritus of wikipedia's board of trustees","jimmy wales (born 1966), a co-founder of Wikipedia and chairperson emeritus of Wikipedia's board of trustees.","jimmy ""jimbo"" wales (born 1966), founder of wikipedia and chairperson emeritus of wikipedia's board of trustees"
520,"prior to his renunciation of citizenship, black and his supporters had argued that this strict interpretation of the nickle resolution by canadian prime minister jean chrtien was payback for black's past verbal sparrings with chretien and his (left-wing) political opinions.",No neutral text provided,"prior to his renunciation of citizenship, black and his supporters had argued that this strict interpretation of the nickle resolution by canadian prime minister jean chrtien was payback for black's past verbal sparrings with chretien and his political opinions."
525,the kia rio is a subcompact car and is produced as cheap as is possible by the south korean manufacturer kia since august 2000 and now in its fourth generation.,the kia rio is a subcompact car produced by the South Korean manufacturer Kia since August 2000 and is now in its fourth generation.,the kia rio is a subcompact car produced by the south korean manufacturer kia since august 2000 and now in its fourth generation.
529,"the paratroopers were the ones to liberate the wailing wall and the temple mount - a moment that is considered as ""historic"" and the ""highlight of this war"" by the majority of the israeli public, mainly due to the sacredness of these places to the jewish people.",No neutral text provided,"the paratroopers were the ones to capture the wailing wall and the temple mount - a moment that is considered as ""historic"" and the ""highlight of this war"" by the majority of the israeli public, mainly due to the sacredness of these places to the jewish people."
533,"it was met with opposition by the student body but greg watson, the principal, pled ignorance to the issue and has claimed that he had received positive support regarding it.",No neutral text provided,"it was met with opposition by the student body but greg watson, the principal, pled ignorance to the issue and has stated that he had received positive support regarding it."
534,"the language is sometimes referred to in english as gaelic (sampa: /""geilik/) or irish gaelic but in ireland this usage is regarded as anachronistic and the terms the irish language or simply irish are preferred.",No neutral text provided,"the language is sometimes referred to in english as gaelic (sampa: /""geilik/) or irish gaelic but is more generally referred to in ireland simply as the irish language or simply irish are preferred."
538,sadly his trademark accuracy deserted him in the grand final and he was unable to secure the points needed with neil kelly's widnes vikings running out victors 24-12.,No neutral text provided,hin the grand final he was unable to secure the points needed with neil kelly's widnes vikings running out victors 24-12.
542,"bachmann has taken a strong position against murder of unborn babies and has been endorsed in her runs for congress by the susan b. anthony list and minnesota citizens concerned for life; at a debate among presidential candidates in new hampshire, when asked if abortion should be allowed in cases of rape or incest, bachmann responded that she is ""100 per cent pro-life"".",No neutral text provided,"bachmann has taken a strong opposition to the legalization of abortion and has been endorsed in her runs for congress by the susan b. anthony list and minnesota citizens concerned for life; at a debate among presidential candidates in new hampshire, when asked if abortion should be allowed in cases of rape or incest, bachmann responded that she is ""100 per cent pro-life""."
550,"gill is controversial in his attitude and widely disseminated view of welsh people; for example in 1998 his descriptions of welsh people as ""dark, ugly little trolls"" in the sunday times were reported to the commission for racial equality as racist.",No neutral text provided,"gill has been controversial in his view of welsh people; in 1998 his descriptions of welsh people as ""dark, ugly little trolls"" in the sunday times were reported to the commission for racial equality as racist."
552,"in summary myllykoski wrote ""the authenticity and significance of the ossuary has been defended by shanks (2003), while many scholars relying on convincing evidence, to say the least strongly suspect that it is a modern forgery.""",No neutral text provided,"in summary myllykoski wrote ""the authenticity and significance of the ossuary has been defended by shanks (2003), while other scholars argue this is a modern forgery."""
558,"the largest famine ever (proportional to the affected population) was the irish potato famine, which began in 1845 and occurred as food was being shipped from ireland to england because the english could afford to pay higher prices.","one of the largest historical famines (proportional to the affected population) was the Irish Potato Famine, which began in 1845. During this period, food was shipped from Ireland to England because the English could afford to pay higher prices.","one of the largest historical famines (proportional to the affected population) was the irish potato famine, which began in 1845 and occurred as food was being shipped from ireland to england because the english could afford to pay higher prices."
559,"not a penny more, not a penny less was jeffrey archer's first novel, first published in 1976. it was said to have been inspired by archer's real-life experience of near-bankruptcy , and is regarded by many to be his best novel to date .","not a penny more, not a penny less was Jeffrey Archer's first novel, first published in 1976. It is considered one of his notable works.","not a penny more, not a penny less was jeffrey archer's first novel, first published in 1976. it was said to have been inspired by archer's real-life experience of near-bankruptcy."
561,"as a member of the standing committee and the president of the regional group (national front/gathering for the nord-pas-de-calais), she led a strong and constructive opposition facing the left-wing regional executive managed by daniel percheron .","as a member of the standing committee and president of the regional group (national front/gathering for the nord-pas-de-calais), she led an opposition facing the left-wing regional executive managed by Daniel Percheron.","as a member of the standing committee and a president of the regional group (national front/gathering for the nord-pas-de-calais), she led a resolute opposition facing the left-wing regional executive managed by daniel percheron."
565,"his senseless attacks on swedish player lars-erik ericsson (who received a stick in the eye), as well as russian players sjadrin, jakusjev and babinov (who were all knocked unconscious) , should have seen him suspended indefinitely .","His attacks on Swedish player Lars-Erik Ericsson (who received a stick in the eye), as well as Russian players Sjadrin, Jakusjev, and Babinov (who were all knocked unconscious) should have led to his indefinite suspension.","paiement attacked swedish player lars-erik ericsson (who received a stick in the eye), as well as russian players sjadrin, jakusjev and babinov (who were all knocked unconscious)."
566,boston university school of law offers one of the nation's broadest selections of legal classes and seminars (approximately 150) with a student to faculty ratio at 12:1.,No neutral text provided,boston university school of law offers a broad selection of legal classes and seminars (approximately 150) with a student to faculty ratio at 12:1.
576,many types of aircraft are stationed here at any given time but the numbers and type of aircraft and personel are deemed classified for the safety of our airmen and soldiers fighting the war on terrorism .,No neutral text provided,many types of aircraft are stationed here at any given time but the numbers and type of aircraft and personel are deemed classified for the safety of the personnel assigned there .
580,david barton is an author and make-believe historian who lies about the church-state relationship in the united states of america.,david barton is an author and historian who writes about the church-state relationship in the united states of america.,david barton is an author and historian who talks about the church-state relationship in the united states of america.
581,"the game and hardy little dogs were useful as ratters in the stable yard, bolters of fox for the hunt, and loving family companions.","the game and hardy little dogs were useful as ratters in the stable yard, bolters of fox for the hunt, and family companions.","the dogs were useful as ratters in the stable yard, bolters of fox for the hunt, and family companions."
592,"the mclaren f1 remains the greatest supercar, ever made.",No neutral text provided,"the mclaren f1 is considered by many to still be the greatest supercar, ever made."
594,"he believes israel is consistently refusing to stop building settlements on what he regards as palestinian land, and what he believes is in defiance of international undertakings, from camp david, to the oslo accord and the road map, as 'the most criminal enterprise in its history'.","he believes Israel is continuing to build settlements on what he considers Palestinian land, in violation of international agreements such as the Camp David Accords, the Oslo Accord, and the Road Map.","he regards israel 's consistent refusal to stop building settlements on palestinian land, in defiance of international undertakings, from camp david, to the oslo accord and the road map, as 'the most criminal enterprise in its history'."
600,"while muslim tradition tended to glorify muhammad, western tradition has at times denigrated and vilified him.","While Muslim tradition tends to praise Muhammad, Western tradition has at times portrayed him negatively.","while muslim writers have tended to speak highly muhammad, western tradition has at times been critical of him."
606,thug 2 also sees the return of the much loved classic mode.,No neutral text provided,thug 2 also sees the return of the classic mode .
607,"the league of the south has been attacked as racist, a charge the league denies.","the league of the south has been accused of being racist, a charge the league denies.","the league of the south has been described as racist, a charge the league denies."
610,"despite their common religion of islam, the ethnic and linguistic gulf between the two wings, compounded by an apathetic government based in west pakistan, resulted in the independence of bangladesh in 1971 after the bloody bangladesh liberation war, in which it was supported by india and under the leadership of bangabondhu shiekh mujibur rahman (father of the nation) .","Despite their common religion of Islam, the ethnic and linguistic differences between the two wings, compounded by a perceived lack of support from the government based in West Pakistan, led to the independence of Bangladesh in 1971 after the Bangladesh Liberation War, during which it received support from India.","despite their common religion of islam, the ethnic and linguistic gulf between the two wings, compounded by an apathetic government based in west pakistan, resulted in the independence of bangladesh in 1971 after the bloody bangladesh liberation war, in which it was supported by india."
615,"in 2010, as host of q&a, jones apologised to former prime minister john howard after a man threw his shoes at the howard in protest against the lies and killings involved in the iraq war.",No neutral text provided,"in 2010, as host of q&a, jones apologized to former prime minister john howard after a man threw his shoes at the howard in protest against the iraq war."
629,"the second silesian uprising was the second out of three uprisings of the polish people in the upper silesia region against the occupying german forces in order to liberate the region and join to poland, which had regained her independence after the world war i (1914-1918).",No neutral text provided,"the second silesian uprising was the second out of three uprisings of the polish people in the upper silesia region against the german government in order to separate the region from germany and join poland, which had been established following world war i (1914-1918)."
632,arafat's widow suha arafat settled the issue in december 2012 by admitting on dubai television that her husband had planned the uprising.,No neutral text provided,arafat's widow suha arafat reportedly said on dubai television in december 2012 that her husband had planned the uprising.
636,"the infamous razzie awards declared shining through the worst picture of 1992, with melanie griffith being voted worst actress and david seltzer for worst director.",No neutral text provided,"the razzie awards declared shining through the worst picture of 1992, with melanie griffith being voted worst actress and david seltzer for worst director."
640,"microsoft has talked about the idea of ""delighters"" - updates that will be regularly rolled out over time to extend the platform in unique and interesting ways .",No neutral text provided,"microsoft has talked about the idea of ""delighters"" - updates that will be regularly rolled out over time to extend the platform 's functionality ."
641,"commonly referred to as the ""queen of pop"", she is noted for her innovative music videos, elaborately mounted stage performances, and use of political, sexual, and religious themes and imagery in her work.","She is known for her innovative music videos, elaborately mounted stage performances, and use of political, sexual, and religious themes and imagery in her work.","sometimes referred to as the ""queen of pop"", she is noted for her innovative music videos, elaborately mounted stage performances, and use of political, sexual, and religious themes and imagery in her work."
645,"judy garland (born frances ethel gumm; june 10, 1922 – june 22, 1969) was an oscar-nominated american film actress, considered by many to be one of the greatest singing stars of hollywood's golden era of musical film, best known for her role as the beautiful dorothy gale from the wizard of oz.",No neutral text provided,"judy garland (born frances ethel gumm; june 10, 1922 – june 22, 1969) was an oscar-nominated american film actress, considered by many to be one of the greatest singing stars of hollywood's golden era of musical film, best known for her role as dorothy gale from the wizard of oz."
647,"when a leader is free to speak, trade and travel, but doesn't allow his people the same freedoms, he's breaking the rule.","when a leader is free to speak, trade, and travel, but does not allow their people the same freedoms, they are breaking the rule.","when a leader is free to speak, trade and travel, but doesn't allow his or her people the same freedoms, the leader is breaking the rule."
650,the history of kke is an essential part of modern greek history.,"""The history of KKE is regarded as a significant aspect of modern Greek history.""",the history of kke is an integral part of modern greek history.
662,"founded in 1821, mcgill is considered to be the best university in canada.","founded in 1821, McGill is considered to be a prestigious university in Canada.","founded in 1821, mcgill is considered to be one of the best universities in canada."
679,"the kfir entered service with the iaf in 1975, the first units being assigned to the renowned 101st ""first fighter"" squadron.","the kfir entered service with the iaf in 1975, the first units being assigned to the 101st squadron.","the kfir entered service with the iaf in 1975, the first units being assigned to the 101st ""first fighter"" squadron."
680,"hilary du pr was born in woking, surrey, the eldest child of an upper middle-class, cultured family headed by an accountant father and a pianist mother.","hilary du pr was born in woking, surrey, and was the eldest child in a family with an accountant father and a pianist mother.","hilary du pr was born in woking, surrey, the eldest child of an upper middle-class, family headed by an accountant father and a pianist mother."
686,"in early november 2004, mary and heather appeared with the rest of her family at a victory rally for the bush/cheney ticket, causing a virginia pro- heterosexual advocate to express disappointment that the bush administration would flaunt a lesbian and her partner on stage in front of supporters who view homosexuality as an immoral or unnatural choice.",No neutral text provided,"in early november 2004, mary and heather appeared with the rest of her family at a victory rally for the bush/cheney ticket, causing a virginia pro- family advocate to express disappointment that the bush administration would flaunt a lesbian and her partner on stage in front of supporters who view homosexuality as an immoral or unnatural choice."
699,"the winning player takes both cards of the trick, and places them face down in a pile next to him , called the baza.","The winning player takes both cards of the trick and places them face down in a pile next to them, referred to as the baza.","the winning player takes both cards of the trick, and places them face down in an individual pile on the table , called the baza."
705,"max reinhardt (september 9, 1873 - october 30, 1943) was an influential austrian (later nauralised american) theatre and film director and actor.",No neutral text provided,"max reinhardt (september 9, 1873 - october 30, 1943) was an austrian (later nauralised american) theatre and film director and actor."
706,"hank hanegraaff is still (sigh) president of the christian research institute, which had been located in rancho santa margarita, california.","hank hanegraaff is currently serving as the president of the Christian Research Institute, located in Rancho Santa Margarita, California.","hank hanegraaff is still president of the christian research institute, which had been located in rancho santa margarita, california."
716,"in the presidential election of 1940, lewis, heavily dependent on pro-soviet organizers, rejected roosevelt and supported wendell willkie, the republican candidate, fearing roosevelt's intention for american involvement in world war ii at a time when the soviet union supported germany.",No neutral text provided,"in the presidential election of 1940, lewis, heavily dependent on pro-soviet organizers, rejected roosevelt and supported wendell willkie, the republican candidate, fearing roosevelt's desire for american involvement in world war ii during a period in which the soviet union maintained a non-aggression pact with germany."
717,"israel is currently also embroiled in an ongoing conflict with palestinians in the occupied territories controlled since the six day war in 1967, despite the signing of the oslo accords on september 13 1993, and the ongoing efforts of israeli, palestinian and global peacemakers.",No neutral text provided,"israel is currently also embroiled in an ongoing conflict with palestinians in the territories controlled since the six day war in 1967, despite the signing of the oslo accords on september 13 1993, and the ongoing efforts of israeli, palestinian and global peacemakers."
719,"a paper by lydiard h. horton, read in 1915 at a joint meeting of the american psychological association and the new york academy of sciences, called freud's dream theory ""dangerously inaccurate"" and noted that ""rank confabulations...appear to hold water, psychoanalytically"" .","a paper by Lydiard H. Horton, presented in 1915 at a joint meeting of the American Psychological Association and the New York Academy of Sciences, critiqued Freud's dream theory as ""dangerously inaccurate"" and mentioned that ""rank confabulations...appear to hold water, psychoanalytically.""","a paper by lydiard h. horton, read in 1915 at a joint meeting of the american psychological association and the new york academy of sciences, called freud's dream theory ""dangerously inaccurate"" and said that ""rank confabulations...appear to hold water, psychoanalytically"" ."
726,essendon sits at the bottom of the 2006 afl ladder with 4 points and a percentage of 75.5. essendon are certain to be 2006 wooden spooners.,No neutral text provided,essendon sits at the bottom of the 2006 afl ladder with 4 points and a percentage of 75.5. essendon are likely to be 2006 wooden spooners.
727,"a spokesperson for the virginia department of agriculture responded that it had considered changing peta's status from ""shelter"" to ""euthanasia clinic,"" citing peta""s willingness to take in animals that other shelters would not.",No neutral text provided,"a spokesperson for the virginia department of agriculture responded that it had considered changing peta's status from ""shelter"" to ""euthanasia clinic,"" citing peta""s willingness to handle animals that other shelters would not."
734,"created in 1987 by shaikh ahmed yassin of the gaza wing of the muslim brotherhood, hamas is known chiefly for its suicide bombings and other attacks directed against israeli civilians, as well as military targets.",No neutral text provided,"created in 1987 by shaikh ahmed yassin of the gaza wing of the muslim brotherhood, hamas is known outside of palestine chiefly for its suicide bombings and other attacks directed against israeli civilian and military targets."
739,"therefore, being long a delta neutral call results in the same returns as being long a delta neutral put.",No neutral text provided,"therefore, being long a delta -hedged call results in the same returns as being long a delta -hedged put."
743,"1) comic book in 1989 with #86. the immense popularity of liefelds art lead to him taking over the writing and drawing duties on the book, which allowed him to introduce cable and several other new hard-edged characters in 1990 and 1991. with help from writer fabian nicieza, who provided the dialogue for liefelds plots, liefeld transformed the new mutants into x-force in the new mutants (vol.","1) A comic book was released in 1989 with issue #86. Rob Liefeld's art gained popularity, leading him to take over the writing and drawing responsibilities for the book. This opportunity allowed him to introduce Cable and several other new hard-edged characters in 1990 and 1991. With assistance from writer Fabian Nicieza, who provided the dialogue for Liefeld's plots, Liefeld transformed the New Mutants into X-Force in the New Mutants (vol.","1) comic book in 1989 with #86. the popularity of liefelds art lead to him taking over the writing and drawing duties on the book, which allowed him to introduce cable and several other new hard-edged characters in 1990 and 1991. with help from writer fabian nicieza, who provided the dialogue for liefelds plots, liefeld transformed the new mutants into x-force in the new mutants (vol."
745,chicks with guns is a photo-book featuring unsettling portraits of american women from different backgrounds with their firearms.,chicks with guns is a photo-book featuring portraits of American women from different backgrounds with their firearms.,chicks with guns is a photo-book featuring portraits of american women from different backgrounds with their firearms.
750,he then started a relationship with a bogan called janae timmins.,No neutral text provided,he then started a relationship with janae timmins.
755,"dan melchior is a singer/songwriter/guitarist who grew up in shepperton (just outside london), england and is often (lazily) labelled a 'garage rock' musician.",No neutral text provided,"dan melchior is a singer/songwriter/guitarist who grew up in shepperton (just outside london), england and is often labeled a 'garage rock' musician."
762,"roger allers (born 1949 in rye, new york) is an oscar-nominated american film director, screenwriter, storyboard artist, animator and tony-nominated playwright.",No neutral text provided,"roger allers (born 1949 in rye, new york) is an american film director, screenwriter, storyboard artist, animator and playwright."
765,"doyle-price employs her partner mark coxshall as her part-time office manager on a salary up to 30,000. she was listed in articles in the daily telegraph and the guardian which criticised the practice of mps employing family members, on the lines that it promotes nepotism.","Doyle-Price employs her partner Mark Coxshall as her part-time office manager on a salary of up to 30,000. She has been featured in articles in the Daily Telegraph and The Guardian that criticized the practice of MPs employing family members, suggesting that it promotes nepotism.","doyle-price employs her partner mark coxshall as her part-time office manager on a salary up to 30,000. the practice of mps employing family members has been criticised by some sections of the media on the lines that it promotes nepotism."
769,"at one o'clock, scrooge is visited by the victorian upper-class ghost of christmas past, who takes him back in time to his childhood and early adult life.","at one o'clock, Scrooge is visited by the Victorian ghost of Christmas Past, who takes him back in time to his childhood and early adult life.","at one o'clock, scrooge is visited by the victorian ghost of christmas past, who takes him back in time to his childhood and early adult life."
779,"as of 2017, kid rock has been known to make numerous overtly political speeches at many of his tour dates, particularly making transphobic comments at many occasions .",No neutral text provided,"as of 2017, kid rock has been known to make numerous overtly political speeches at many of his tour dates, making comments which have been perceived as being transphobic."
780,"even though the best is , without a doubt, ""the persecutor,"" an homage to jazz and particularly the creator of bebop, charlie parker, in which cortzar unfurls countless musical choices, between allegories and metaphors, that reveal to the reader the author's exquisite melomania (passion for music).",This text does not contain detectable subjective bias.,"the fourth story is ""the persecutor,"" an homage to jazz and particularly the creator of bebop, charlie parker, in which cortzar unfurls countless musical choices, between allegories and metaphors, that reveal to the reader the author's exquisite melomania (passion for music)."
791,"if china should acquire the s-400, reported to initially consist of six batteries, it would significantly improve china's ability to defend its own air space and serve as an effective stand-off weapon against american, russian and japanese air attacks.",No neutral text provided,"if china should acquire the s-400, reported to initially consist of six batteries, it would significantly improve china's ability to defend its own air space and serve as an effective stand-off weapon against air attacks."
796,"maria pryimachenko (1908–1997) was a renowned ukrainian village folk art painter, representative of nave art.",No neutral text provided,"maria pryimachenko (1908–1997) was a ukrainian village folk art painter, representative of nave art."
797,"while the name ginsu was created from whole cloth , becher later translated the word as meaning ""i never have to work again"".",No neutral text provided,"while the name ginsu was invented by becher , becher later translated the word as meaning ""i never have to work again""."
798,"iuliu maniu (january 8, 1873—february 5, 1953) was an austro-hungarian and romania n politician .",No neutral text provided,"iuliu maniu (january 8, 1873—february 5, 1953) was a romanian politician and statesman in austria-hungary and romania."
