Sequence,Predicted Neutral Text,Source Text,BLEU Score
118,bill zito is the general manager of the florida panthers in the national hockey league (nhl).,bill roper is a notorious video game developer and has been a well-known figure in the worldwide gaming industry for over a decade.,0.20226855962993046
119,"alverson has said that the main inspiration for his work comes from other artists, from widely varying cultures.","after living in radnorshire, mid-wales from 1970 to 1975, alverson moved to cambridge, england, where he was active in rabble-rousing activities , including resistance to the duke of westminsters rape of cambridge's kite area .",0.09196986029286058
120,"in 2003, bridges hself starred as an fbi agent in the summer drama the agency , aired on cbs.","in 1960, following his returm from military service, the various ""yes men"" and employees hired by elvis presley to handle security and his concert tours were affectionately dubbed the ""memphis mafia"" by the news media.",0.10510841176326924
121,this text does not contain detectable subjective bias.,"mark concludes his post saying he thinks ""that many if not most of the complaints directed against g&m are motivated in part by ideological disagreement -- just as much of the praise for their work is motivated by ideological agreement.",0.004548461269855661
122,"after a late start to the season caused by injuries, grosjean had a successful in gp2 , only losing out on the title at the final race .","both drivers never even got near a good enough time to make it to the grid , as they struggled in the difficult-handling cars.",0.2413793103448276
123,"founded in 1968 by archeologist david holly, the society is based on the belief that in a world of change the wisdom of the salvadoran people can endure and can lead to a new commitment for god's colorblind society.","san antonio spurs superstar tim duncan is considered an ""international"" player because he was born in the united states virgin islands even though he, like all other usvi natives, is a u.s. citizen by birth, and also has played for the u.s. national team.",0.19680129467243762
124,"with some exceptions (such as robert m. price), scholars in the fields of biblical studies and history agree that jesus was a jewish teacher from galilee who was regarded as a healer, was baptized by john the baptist, was accused of sedition against the roman empire, and on the orders of roman governor pontius pilate was sentenced to death by crucifixion.","with few exceptions (such as robert m. price), scholars in the fields of biblical studies and history agree that jesus was a jewish teacher from galilee who was regarded as a healer, was baptized by john the baptist, was accused of sedition against the roman empire, and on the orders of roman governor pontius pilate was sentenced to death by crucifixion.",0.9852941176470589
125,"listed in alphabetical order, they are: bo burnham, rob corddry, julie delpy, kaitlyn dever, danny devito, glenn howerton, mae whitman and jermaine fowler.","micah stock (born december 31, 1988) is a tony award-nominated american actor.",0.0625
126,"the cold war was the continuing state of conflict, tension and competition that existed after world war ii between the communist bloc and the powers of the western world under the leadership of the united states from the mid-1940s to the early 1990s.","the cold war was the continuing state of conflict, tension and competition that existed after world war ii between the soviet union and its satellites and the powers of the western world under the leadership of the united states from the mid-1940s to the early 1990s.",0.8939288968079904
127,"but according to proponents ed bott and george ou, they never attacked the slides and only criticize what guttmann has published in his original paper.","but if you read the actual criticism from ed bott and george ou, they never attacked the slides and only criticize what guttmann has published in his original paper.",0.7664918727406744
128,the russian federation has only a fraction of the military and political power of the former soviet union.,"despite this acceptance, the russian federation lacked the military and political power of the former soviet union.",0.7368421052631579
129,"may 14 at a press conference, john lennon and paul mccartney introduce the beatles' new business concept, apple corps, ltd., a company that included a recording studio, a record label, and clothing store.","may 14 at a press conference, john lennon and paul mccartney introduce the beatles' new business concept, apple corps, ltd., a disastrously mismanaged entertainment company that included a recording studio, a record label, and clothing store.",0.9294421312368021
130,"the school was originally funded by the swiss-american multimillionaire oilman disney artist t. boone pickens and managed by london businessman R. philip martin, until martin's retirement in 2002 and the subsequent appointment of mrs. susan douglas as headmistress.text does not contain detectable subjective bias.","independent schools, as compared with maintained schools, are generally characterised by more individual teaching by better teachers ; much better pupil-teacher ratios at around 9:1. ; longer teaching hours (sometimes including saturday morning teaching) and homework, though shorter terms; more time for organised sports and extra-curricular activities; more emphasis on traditional academic subjects such as maths, classics and modern languages; a broader view of education than that prescribed by the national curriculum, to which state school education is in practice limited; more emphasis on achievement, whether academic, sporting, musical, dramatic, artistic, or otherwise; and historical buildings and school traditions.",0.05166934430664255
131,"there seems to be a lack of talent around the office except for perhaps jim, a young sales representative who is engaged to pam, the receptionist.","andy bernard is the irritating frat-boy-type regional director in charge of sales, who competes with dwight for the position, title, and the attention of michael.",0.3448275862068966
132,the israeli army also heavily targeted plo positions in south lebanon without success in fully silencing palestinian rocket launchers and guns.,the israeli army also heavily targeted plo positions in south lebanon without succeeding in silencing palestinian rocket launchers and guns.,0.9090909090909091
133,anatolia corresponds to the asian part of turkey.,anatolia corresponds to the western two-thirds of the asian part of turkey.,0.6411803884299546
134,"originally a military pilot, on his research and test flying in early 90s swiss patrick baudry later served as a back-up astronaut for the first joint frano-soviet spaceflights in the 1970s the so by the letter of strict meritocratic retrospect he might have flown before shuttleworth .","shuttleworth claimed to be the first african in space, but patrick baudry , a cameroon ian french astronaut , holds that title .",0.20833333333333334
135,"egalitarianism is a theological view in christianity, which holds that there are no biblically-mandated spiritual gender roles in leadership in the church.","complementarianism is a theological view held by some in christianity, judaism, and islam,<!--",0.2916666666666667
136,"ammukutty, better known as ammu swaminathan, a social worker and independence activist from the vadakkath family of anakkara in palghat, kerala.","ammukutty, better known as ammu swaminathan, a social worker and independence activist from the prominent vadakkath family of anakkara in palghat, kerala.",0.9607894391523232
137,the progressive labour party (plp) is a political party in bermuda .,the united bermuda party (ubp) is a centrist political party in bermuda.,0.7315493269103036
138,"it is widely said that the first computer virus was written in 1983, by fred cohen, and was called 'brain'.","bob velke (born 1961 in alexandria, virginia,usa) is well regarded as a visionary in the genealogy field.",0.25
139,"william f. friedman, us, introduced statistical methods into cryptography ; some people consider him a founder of modern cryptography.","william f. friedman, us, introduced statistical methods into cryptography , can claim title of founder of modern cryptography.",0.7272727272727273
140,"the second silesian uprising was the second out of three uprisings of the polish people in the upper silesia region against the german forces in order to separate the region from germany and become part of poland, which had regained independence after the world war i (1914-1918).","the second silesian uprising was the second out of three uprisings of the polish people in the upper silesia region against the occupying german forces in order to liberate the region and join to poland, which had regained her independence after the world war i (1914-1918).",0.8823529411764706
141,"his role has been controversial, and some serbian media sources have made allegations of improper conduct against him.","his role has been controversial, and the serbian media have made a number of allegations of improper conduct against him.",0.8143536762323635
142,"during the 7th century persian-pashtun conversion to islam, baffa, a persian commander hailing from modern day afghanistan, was the first member of the pashtun ethnolinguistic group to convert to islam through an arab sahaba named baqila .","due to their geographic location, they have often been in close contact with the persians, while religiously most pashtuns, according to archaeological evidence, were most likely buddhist and zoroastrian with small minorities of pagans, hindus, and jews prior to the coming of arab muslim invaders in the 8th century ce.",0.21247518016720038
143,"the film received mixed reviews from critics when it was released, although the visual effects were praised.","the main theme appeared for the first time anywhere on vangelis' 1989 album ""themes.""",0.15789473684210523
144,"loss of control, constriction, overcrowding, high speeds/accelerations, height and other phobias may also prevent people from using public transport.","loss of control, constriction, overcrowding, high speeds/accelerations, height and other phobias produce anxiety that discourage use of public transport.",0.75
145,"the russell-einstein manifesto greatly increased opposition to nuclear weapons testing, and was followed by a conference on its theme that was attended by many of the leading scientific figures, and concrete moves towards the cessation of nuclear testing.","the remark caused a media firestorm, with drawing vociferous opposition from western governments, especially the u.s. government under george w. bush.",0.17073170731707318
146,"people motivated primarily by health concerns may choose not to drink alcohol either for short-term reasons (such as trying to lose weight) or long-term, by abstaining all or most of the time.","when at drinking establishments, teetotalers (or teetotallers) either abstain from drinking completely, or ostentatiously consume non-alcoholic beverages such as water, juice, tea, coffee, virgin drinks, mocktails, and alcohol-free beer.",0.22370982920359242
147,"in the united states presidential election, 1860, abraham lincoln received only 10 percent of the state's votes, while 71 percent favored either john bell or stephen a. douglas, both of whom wanted the status quo to remain (douglas was to narrowly win the missouri vote over bell , the other . only one of two states douglas carried, besides new jersey) with the remaining 19 percent siding with southern democrat john c. breckinridge.","in the united states presidential election, 1860, abraham lincoln received only 10 percent of the state's votes, while 71 percent favored either john bell or stephen a. douglas, both of whom wanted the status quo to remain (douglas was to narrowly win the missouri vote over bellthe only state douglas carried besides new jersey) with the remaining 19 percent siding with southern democrat john c. breckinridge.",0.8780487804878049
148,"the association was assessed approximately $20,000 in back taxes on the pavilion, and was the subject of two related civil rights complaints.","however, the association was assessed approximately $20,000 in back taxes on the pavilion, and was the subject of two civil rights complaints due to the civil union controversy .",0.7255523917974964
149,"by saying that, he rejects the interpretation of david glantz who portrays the soviet army as seriously unprepared for war.","by saying that, he rejects the thesis of david glantz ' work , which portrays the soviet army as seriously unprepared for war.",0.7932048116994761
150,"these seven entities had a total of $9Â trillion in debt or guarantee obligations and a high degree of leverage . that was an enormous concentration of risk , yet they were not subject to the same regulation as depository banks.","these seven entities were highly leveraged and had $9Â trillion in debt or guarantee obligations , an enormous concentration of risk ; yet they were not subject to the same regulation as depository banks.",0.7441860465116279
151,the taliban were able to seize control of the northern part of the country as its old allies turned on it after the u.s. invasion .,"they carried out arrests and torture of political opponents, but were disbanded after the brutal us invasion in 1989.",0.23076923076923078
152,houthis say that they launched a missile targeting at the al-yamamah palace in the saudi capital city of riyadh.,saudi arabia says that houthi rebels launch a missile targeting at the al-yamamah palace in the saudi capital city of riyadh.,0.7238699344287677
153,calzaghe successfully defended his titles five weeks later on 30 september by outpointing sakio bika over 12 rounds in a lacklustre fight .,"calzaghe was tentatively scheduled to fight former light heavyweight champion glen johnson in the featured bout of a 8 july, 2006 card at millennium stadium in cardiff, wales he was forced to withdraw from the fight when he re aggravated a hand injury , leading many to believe he ducked a fight with the dangerous johnson .",0.045444035695143645
154,"his second wife, hermine (see below), actively petitioned the nazi government on her husband's behalf, but hitler regarded admiral wilhelm as a weak leader and the man who had caused germany's greatest defeat, and wilhelm's own desire for power would prevent wilhelms restoration.","his second wife, hermine (see below), actively petitioned the nazi government on her husband's behalf, but the scorn which adolf hitler felt for the man who had contributed to germany's greatest defeat, and his own desire for power would prevent wilhelms restoration.",0.7924528301886793
155,the school is next to the church.,the church has a close relationship with st ignatius catholic primary school next door.,0.26053876229906775
156,"(notice that even the nrsv speaks of ""the record ... with its legal demands"", which seems to indicate a law code rather than a charge sheet.)","(notice that even the nrsv speaks of ""the record ... with its legal demands"", which seems to indicate a law code rather than a charge sheet.)",1.0
157,"he joined the department of the taoiseach, as finance officer in 1999.","highly regarded by colleagues, he joined the department of the taoiseach, as finance officer in 1999.",0.6996725373751302
158,michigan and michigan state first played in 1898.,"as a result of a big ten scheduling anomaly , michigan and minnesota will not play in 2009 or 2010, the first break in the series since 1999.",0.05387331548022503
159,"as the episode unfolded however bloggers, women, gays and lesbians, and syrians were unhappy, since a blog that claimed to be one of them was written by an american straight male.","monica hesse of the washington post stated that upon discovery of the hoax, bloggers, women, gays and lesbians, and syrians were unhappy, since a blog that claimed to be one of them was written by an american straight male.",0.6922673627301377
160,"a spin-off of filmation's he-man and the masters of the universe series, she-ra was aimed primarily at a young female audience to complement he-man's popularity with young males.","a spin-off of filmation's he-man and the masters of the universe series, she-ra was aimed primarily at a young female audience to counterbalance he-man's popularity with young males.",0.96875
