Sequence,Predicted Neutral Text,True Neutral Text,BLEU Score
159,"hank hanegraaff is currently serving as the president of the Christian Research Institute, located in Rancho Santa Margarita, California.","hank hanegraaff is still president of the christian research institute, which had been located in rancho santa margarita, california.",0.5
160,No neutral text provided,"in the presidential election of 1940, lewis, heavily dependent on pro-soviet organizers, rejected roosevelt and supported wendell willkie, the republican candidate, fearing roosevelt's desire for american involvement in world war ii during a period in which the soviet union maintained a non-aggression pact with germany.",0.0
161,No neutral text provided,"israel is currently also embroiled in an ongoing conflict with palestinians in the territories controlled since the six day war in 1967, despite the signing of the oslo accords on september 13 1993, and the ongoing efforts of israeli, palestinian and global peacemakers.",0.0
162,"a paper by Lydiard H. Horton, presented in 1915 at a joint meeting of the American Psychological Association and the New York Academy of Sciences, critiqued Freud's dream theory as ""dangerously inaccurate"" and mentioned that ""rank confabulations...appear to hold water, psychoanalytically.""","a paper by lydiard h. horton, read in 1915 at a joint meeting of the american psychological association and the new york academy of sciences, called freud's dream theory ""dangerously inaccurate"" and said that ""rank confabulations...appear to hold water, psychoanalytically"" .",0.7115384615384616
163,No neutral text provided,essendon sits at the bottom of the 2006 afl ladder with 4 points and a percentage of 75.5. essendon are likely to be 2006 wooden spooners.,0.0
164,No neutral text provided,"a spokesperson for the virginia department of agriculture responded that it had considered changing peta's status from ""shelter"" to ""euthanasia clinic,"" citing peta""s willingness to handle animals that other shelters would not.",0.0
165,No neutral text provided,"created in 1987 by shaikh ahmed yassin of the gaza wing of the muslim brotherhood, hamas is known outside of palestine chiefly for its suicide bombings and other attacks directed against israeli civilian and military targets.",0.0
166,No neutral text provided,"therefore, being long a delta -hedged call results in the same returns as being long a delta -hedged put.",0.0
167,"1) A comic book was released in 1989 with issue #86. Rob Liefeld's art gained popularity, leading him to take over the writing and drawing responsibilities for the book. This opportunity allowed him to introduce Cable and several other new hard-edged characters in 1990 and 1991. With assistance from writer Fabian Nicieza, who provided the dialogue for Liefeld's plots, Liefeld transformed the New Mutants into X-Force in the New Mutants (vol.","1) comic book in 1989 with #86. the popularity of liefelds art lead to him taking over the writing and drawing duties on the book, which allowed him to introduce cable and several other new hard-edged characters in 1990 and 1991. with help from writer fabian nicieza, who provided the dialogue for liefelds plots, liefeld transformed the new mutants into x-force in the new mutants (vol.",0.6144578313253012
168,chicks with guns is a photo-book featuring portraits of American women from different backgrounds with their firearms.,chicks with guns is a photo-book featuring portraits of american women from different backgrounds with their firearms.,0.9444444444444444
169,No neutral text provided,he then started a relationship with janae timmins.,0.0
170,No neutral text provided,"dan melchior is a singer/songwriter/guitarist who grew up in shepperton (just outside london), england and is often labeled a 'garage rock' musician.",0.0
171,No neutral text provided,"roger allers (born 1949 in rye, new york) is an american film director, screenwriter, storyboard artist, animator and playwright.",0.0
172,"Doyle-Price employs her partner Mark Coxshall as her part-time office manager on a salary of up to 30,000. She has been featured in articles in the Daily Telegraph and The Guardian that criticized the practice of MPs employing family members, suggesting that it promotes nepotism.","doyle-price employs her partner mark coxshall as her part-time office manager on a salary up to 30,000. the practice of mps employing family members has been criticised by some sections of the media on the lines that it promotes nepotism.",0.5833333333333334
173,"at one o'clock, Scrooge is visited by the Victorian ghost of Christmas Past, who takes him back in time to his childhood and early adult life.","at one o'clock, scrooge is visited by the victorian ghost of christmas past, who takes him back in time to his childhood and early adult life.",0.8620689655172413
174,No neutral text provided,"as of 2017, kid rock has been known to make numerous overtly political speeches at many of his tour dates, making comments which have been perceived as being transphobic.",0.0
175,This text does not contain detectable subjective bias.,"the fourth story is ""the persecutor,"" an homage to jazz and particularly the creator of bebop, charlie parker, in which cortzar unfurls countless musical choices, between allegories and metaphors, that reveal to the reader the author's exquisite melomania (passion for music).",0.0009349641654667959
176,No neutral text provided,"if china should acquire the s-400, reported to initially consist of six batteries, it would significantly improve china's ability to defend its own air space and serve as an effective stand-off weapon against air attacks.",0.0
177,No neutral text provided,"maria pryimachenko (1908â1997) was a ukrainian village folk art painter, representative of nave art.",0.0
178,No neutral text provided,"while the name ginsu was invented by becher , becher later translated the word as meaning ""i never have to work again"".",0.0
179,No neutral text provided,"iuliu maniu (january 8, 1873âfebruary 5, 1953) was a romanian politician and statesman in austria-hungary and romania.",0.0
